name,birth,start_year,end_year,career,games,완투,완봉,승,패,세,홀,타자,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,winning_rate,birth_month
황기선,1958-06-02T00:00:00Z,1983,1987,5,87,2,0,8,12,2,0,1077,251.33333333333331,229,17,103,20,122,141,106,0.4,6
정선두,1959-06-06T00:00:00Z,1983,1987,4,39,1,1,4,4,0,0,412,97,101,9,35,2,17,50,38,0.5,6
박정후,1959-12-22T00:00:00Z,1983,1985,3,50,2,0,5,14,1,0,801,183,177,13,110,17,75,102,93,0.263,12
오영일,1960-02-06T00:00:00Z,1983,1990,8,215,34,2,62,64,10,0,4461,1043,1093,60,366,46,369,471,413,0.492,2
장호연,1960-05-05T00:00:00Z,1983,1995,13,346,79,16,109,110,17,0,7532,1805,1680,100,626,86,625,788,653,0.498,5
신계석,1960-09-05T00:00:00Z,1983,1983,1,1,0,0,0,0,0,0,13,2,5,0,1,0,0,3,2,0,9
엄평재,1960-10-24T00:00:00Z,1983,1983,1,13,0,0,0,2,0,0,147,11,34,4,16,3,12,25,20,0,10
김상기,1961-03-03T00:00:00Z,1983,1987,4,26,2,0,2,5,0,0,273,62.33333333333333,64,8,30,5,17,39,34,0.286,3
양일환,1961-06-10T00:00:00Z,1983,1989,7,139,15,3,31,32,5,0,2413,565.6666666666666,529,48,238,45,191,298,257,0.492,6
박동경,1964-03-03T00:00:00Z,1983,1988,4,34,1,0,1,3,0,0,415,94,106,6,50,6,24,55,50,0.25,3
김진욱,1960-08-05T00:00:00Z,1984,1993,10,231,33,12,53,71,16,0,4182,991.3333333333334,910,48,407,62,495,459,405,0.427,8
김봉근,1961-03-13T00:00:00Z,1984,1992,8,128,19,2,21,40,4,0,2462,590.6666666666666,623,57,138,20,193,290,247,0.344,3
전용권,1961-04-12T00:00:00Z,1984,1991,7,70,1,1,5,9,3,0,751,168.66666666666634,198,13,70,9,34,106,99,0.357,4
김재열,1961-04-25T00:00:00Z,1984,1988,4,53,1,0,4,10,2,0,729,166,179,15,73,13,48,95,74,0.286,4
진동한,1961-06-04T00:00:00Z,1984,1992,8,165,9,3,34,32,9,0,2613,598.3333333333334,627,51,248,30,181,318,274,0.515,6
최계훈,1961-06-06T00:00:00Z,1984,1986,3,86,19,2,20,28,11,0,1782,415,402,34,177,17,215,197,166,0.417,6
이문한,1961-07-03T00:00:00Z,1984,1991,6,105,2,0,9,9,3,0,1160,271,237,33,138,7,105,133,124,0.5,7
권기홍,1961-07-12T00:00:00Z,1984,1988,5,21,0,0,0,6,0,0,250,51.666666666666664,76,11,22,3,20,51,45,0,7
윤석환,1961-07-17T00:00:00Z,1984,1991,8,235,4,2,43,27,50,0,2654,632.6666666666666,628,58,227,13,293,265,242,0.614,7
최일언,1961-07-27T00:00:00Z,1984,1992,9,240,31,9,78,57,11,0,4673,1115.3333333333333,942,34,541,40,556,422,356,0.578,7
조도연,1961-08-06T00:00:00Z,1984,1989,5,91,4,0,8,15,4,0,1244,289.99999999999966,303,25,102,11,120,145,126,0.348,8
안창완,1961-12-05T00:00:00Z,1984,1991,8,140,0,0,8,12,6,0,1230,278.6666666666667,295,25,143,6,136,138,119,0.4,12
문희수,1965-03-15T00:00:00Z,1984,1995,12,241,17,5,59,49,13,0,4031,943.3333333333334,912,57,345,40,438,447,387,0.546,3
조용철,1965-08-22T00:00:00Z,1984,1985,2,7,0,0,0,0,0,0,47,9.333333333333332,17,0,5,0,4,10,8,0,8
이충우,1958-08-13T00:00:00Z,1985,1988,4,26,0,0,0,1,0,0,287,63,83,6,17,3,25,47,41,0,8
김용수,1960-05-02T00:00:00Z,1985,2000,16,613,17,2,126,89,227,1,7527,1831.3333333333333,1672,86,498,61,1146,694,606,0.586,5
김준희,1960-05-16T00:00:00Z,1985,1987,3,13,0,0,0,0,0,0,117,22.666666666666664,37,1,13,2,8,24,24,0,5
양상문,1961-03-24T00:00:00Z,1985,1993,9,272,40,10,63,79,13,0,5098,1209.6666666666667,1168,98,447,32,599,567,483,0.444,3
박동수,1961-06-12T00:00:00Z,1985,1993,9,209,21,3,41,48,10,0,3469,810,878,49,188,82,392,403,341,0.461,6
한오종,1961-06-16T00:00:00Z,1985,1991,5,35,2,1,4,6,0,0,544,124.333333333333,118,11,69,3,63,64,59,0.4,6
정삼흠,1961-11-05T00:00:00Z,1985,1996,12,388,50,11,106,121,47,0,8004,1894.6666666666667,1783,148,663,127,939,855,763,0.467,11
안언학,1962-01-06T00:00:00Z,1985,1985,1,10,0,0,0,2,0,0,74,15,19,1,9,2,4,17,15,0,1
신태순,1962-02-13T00:00:00Z,1985,1986,2,22,0,0,0,6,0,0,326,73,81,6,30,5,25,43,32,0,2
김기철,1962-05-24T00:00:00Z,1985,1985,1,5,0,0,0,0,0,0,37,7.333333333333333,12,2,5,0,5,7,6,0,5
최상주,1962-08-07T00:00:00Z,1985,1988,4,50,0,0,5,9,0,0,556,61.666666666666664,139,16,53,7,41,88,72,0.357,8
정은배,1962-10-19T00:00:00Z,1985,1992,7,100,5,1,10,24,8,0,1568,354,398,32,154,15,135,214,181,0.294,10
선동열,1963-01-10T00:00:00Z,1985,1995,11,367,68,29,146,40,132,0,6114,1647,968,28,342,62,1698,274,220,0.785,1
김연철,1958-03-20T00:00:00Z,1986,1988,3,41,6,0,5,12,0,0,711,169.33333333333331,201,15,38,7,35,92,78,0.294,3
이우상,1958-11-29T00:00:00Z,1986,1986,1,6,0,0,0,0,0,0,48,9.333333333333334,11,1,8,0,3,6,6,0,11
조호표,1958-12-02T00:00:00Z,1986,1986,1,2,0,0,0,0,0,0,40,2.3333333333333335,18,5,2,0,1,15,14,0,12
기세봉,1960-02-01T00:00:00Z,1986,1986,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2
조병천,1960-05-25T00:00:00Z,1986,1992,7,142,12,0,15,38,4,0,2174,500,537,40,201,9,206,278,260,0.283,5
윤학길,1961-07-04T00:00:00Z,1986,1997,12,308,100,20,117,94,10,0,7698,1863.6666666666667,1851,103,487,39,916,780,689,0.555,7
민문식,1961-11-26T00:00:00Z,1986,1987,2,11,0,0,1,2,0,0,96,21.666666666666668,23,4,11,0,8,13,11,0.333,11
임재준,1962-02-07T00:00:00Z,1986,1989,4,18,0,0,0,2,0,0,188,43,37,8,18,3,23,30,25,0,2
예병준,1962-03-12T00:00:00Z,1986,1990,5,52,2,0,2,11,0,0,708,153,199,13,65,9,43,102,90,0.154,3
오명록,1962-04-06T00:00:00Z,1986,1990,5,81,8,2,17,21,4,0,1340,311.3333333333333,301,24,140,7,173,151,131,0.447,4
강상진,1962-04-17T00:00:00Z,1986,1991,4,27,1,0,1,5,0,0,340,72,81,5,50,5,23,59,54,0.167,4
이상군,1962-04-21T00:00:00Z,1986,2001,14,320,62,10,100,77,30,1,5975,1411.6666666666667,1396,104,381,62,622,601,518,0.565,4
김대현,1962-06-16T00:00:00Z,1986,1988,3,80,6,0,16,13,5,0,1396,332.6666666666667,312,32,114,14,118,148,139,0.552,6
한희민,1962-07-19T00:00:00Z,1986,1993,8,204,47,13,80,51,24,0,4600,1124.6666666666667,978,104,330,43,595,456,406,0.611,7
김정수,1962-07-24T00:00:00Z,1986,2003,18,600,17,5,92,77,34,33,5907,1394,1128,101,641,123,1131,593,508,0.544,7
김훈기,1962-07-25T00:00:00Z,1986,1989,4,64,10,3,19,12,6,0,1093,256.6666666666667,241,16,90,14,87,114,98,0.613,7
성준,1962-09-25T00:00:00Z,1986,1999,14,301,32,10,97,66,8,0,5941,1405.6666666666667,1317,115,566,44,575,581,518,0.595,9
박노준,1962-10-26T00:00:00Z,1986,1988,3,43,1,0,5,7,7,0,534,129.33333333333331,112,7,51,4,70,51,45,0.417,10
천성호,1963-01-07T00:00:00Z,1986,1986,1,5,0,0,0,1,0,0,30,6.333333333333333,7,1,3,0,2,5,5,0,1
차동철,1963-01-27T00:00:00Z,1986,1997,12,323,15,7,46,46,27,0,3455,818.6666666666666,880,47,216,42,265,390,337,0.5,1
김건우,1963-08-30T00:00:00Z,1986,1997,6,94,15,3,36,19,3,0,1997,485.33333333333337,443,18,151,20,197,173,147,0.655,8
김태원,1964-01-28T00:00:00Z,1986,1998,12,273,36,10,85,77,5,0,5828,1399.6666666666667,1231,83,474,60,819,588,533,0.525,1
손문곤,1965-01-29T00:00:00Z,1986,1992,6,93,4,1,5,16,1,0,1266,280,327,23,135,12,99,202,183,0.238,1
박형열,1967-11-13T00:00:00Z,1986,1991,4,42,1,1,3,5,1,0,460,106,96,5,59,3,40,53,48,0.375,11
김강익,1961-12-05T00:00:00Z,1987,1989,3,22,0,0,0,3,0,0,249,58,63,11,24,1,10,33,31,0,12
이척기,1962-05-25T00:00:00Z,1987,1990,4,18,0,0,2,0,0,0,39,8.999999999999334,11,0,4,0,3,5,4,1,5
이동수,1962-08-05T00:00:00Z,1987,1988,2,9,0,0,1,1,0,0,103,21,32,3,9,2,7,25,23,0.5,8
김경남,1963-01-07T00:00:00Z,1987,1987,1,2,0,0,0,0,0,0,23,5,9,1,0,0,2,4,4,0,1
김대중,1963-03-16T00:00:00Z,1987,1992,6,135,8,1,35,30,4,0,2356,553.3333333333334,524,44,191,54,236,280,235,0.538,3
이상훈,1963-10-22T00:00:00Z,1987,1992,5,67,1,1,4,5,0,0,713,162.33333333333334,164,18,80,7,62,98,92,0.444,10
이동석,1964-01-11T00:00:00Z,1987,1993,7,123,3,1,12,16,7,0,1521,343.3333333333333,378,37,143,24,130,217,191,0.429,1
최진영,1964-03-04T00:00:00Z,1987,1988,2,2,0,0,0,1,0,0,22,4.666666666666666,7,0,3,0,1,3,2,0,3
장태수,1964-03-15T00:00:00Z,1987,1990,4,65,0,0,2,6,2,0,642,142.66666666666666,172,12,64,7,33,96,89,0.25,3
김종석,1964-07-15T00:00:00Z,1987,1993,6,96,4,2,6,23,1,0,1175,265,304,23,120,10,108,151,138,0.207,7
송유석,1966-07-16T00:00:00Z,1987,2001,15,467,3,0,62,50,36,2,5004,1159.6666666666667,1169,90,461,104,577,563,495,0.554,7
최창호,1966-11-08T00:00:00Z,1987,2002,16,510,37,6,77,94,15,13,6291,1490.6666666666667,1314,128,663,29,1048,687,606,0.45,11
이상구,1963-02-27T00:00:00Z,1988,1991,4,63,0,0,4,10,2,0,613,142,130,5,84,4,81,102,90,0.286,2
장정순,1964-08-01T00:00:00Z,1988,1997,9,176,10,1,37,32,16,0,2659,635.3333333333334,576,57,244,23,394,278,241,0.536,8
정윤수,1964-12-17T00:00:00Z,1988,1993,6,116,0,0,10,11,8,0,1279,282,336,23,144,13,145,184,162,0.476,12
구명근,1965-02-21T00:00:00Z,1988,1989,2,12,0,0,1,1,0,0,143,30.333333333333332,41,2,13,2,18,29,23,0.5,2
문병권,1965-04-04T00:00:00Z,1988,1993,6,147,13,2,25,31,3,0,2318,529.6666666666666,575,33,190,55,201,290,262,0.446,4
안성수,1965-05-20T00:00:00Z,1988,1988,1,1,0,0,0,1,0,0,13,2,5,0,2,0,0,3,3,0,5
한용덕,1965-06-02T00:00:00Z,1988,2004,17,482,60,16,120,118,24,11,8601,2080,1933,206,506,119,1341,914,819,0.504,6
박상범,1965-07-07T00:00:00Z,1988,1994,6,48,3,0,3,9,1,0,650,144.66666666666666,172,16,60,7,75,100,95,0.25,7
홍성연,1965-07-18T00:00:00Z,1988,1991,4,71,2,0,7,9,7,0,966,219.33333333333334,241,23,79,11,83,143,135,0.438,7
이국성,1965-12-28T00:00:00Z,1988,1995,8,187,6,1,17,31,5,0,2126,490.6666666666667,492,43,213,16,253,258,238,0.354,12
신완근,1966-02-14T00:00:00Z,1988,1993,6,112,2,0,5,16,3,0,1466,341.6666666666667,363,27,123,13,145,182,163,0.238,2
이용철,1966-10-06T00:00:00Z,1988,1994,7,109,7,0,20,28,0,0,1838,414.33333333333337,455,32,166,38,143,250,205,0.417,10
박정현,1969-07-10T00:00:00Z,1988,2000,12,253,48,7,65,54,21,0,4629,1090.6666666666667,1026,67,429,65,460,472,418,0.546,7
서정용,1969-09-05T00:00:00Z,1988,1991,4,51,7,0,9,11,1,0,821,198,182,11,73,7,62,89,72,0.45,9
하창우,1969-10-24T00:00:00Z,1988,1994,7,30,1,0,1,5,1,0,338,75.66666666666666,72,5,48,5,43,59,58,0.167,10
지성규,1969-11-15T00:00:00Z,1988,1990,3,17,0,0,0,1,0,0,115,23.666666666666,28,2,12,0,6,16,12,0,11
정명진,1961-11-13T00:00:00Z,1989,1992,4,34,0,0,0,9,1,0,335,71.66666666666666,98,10,32,7,38,66,63,0,11
김진규,1962-06-30T00:00:00Z,1989,1992,4,105,5,0,9,19,4,0,1340,305,276,24,190,13,177,152,139,0.321,6
이재홍,1963-09-24T00:00:00Z,1989,1993,4,87,0,0,7,17,2,0,1045,236.66666666666666,258,36,87,17,103,167,149,0.292,9
김덕근,1964-03-01T00:00:00Z,1989,1992,4,43,0,0,3,5,0,0,593,134.66666666666666,125,7,80,9,74,83,70,0.375,3
조계현,1964-05-01T00:00:00Z,1989,2001,13,320,64,19,126,92,17,0,7502,1823.3333333333333,1572,113,605,79,1100,736,642,0.578,5
이광우,1965-03-14T00:00:00Z,1989,2002,14,318,9,5,66,65,15,0,4634,1090,1209,118,275,56,504,586,540,0.504,3
허정욱,1965-08-04T00:00:00Z,1989,1991,3,41,2,0,10,12,0,0,596,136,124,12,84,3,70,78,64,0.455,8
유명선,1965-09-03T00:00:00Z,1989,1996,8,165,18,3,52,38,12,0,3214,743.6666666666666,676,73,411,20,447,377,342,0.578,9
노민승,1965-11-20T00:00:00Z,1989,1989,1,5,0,0,0,0,0,0,43,9.333333333333334,12,2,4,0,3,8,8,0,11
김기범,1965-12-13T00:00:00Z,1989,1999,11,391,18,4,62,61,8,0,4471,1055.6666666666667,982,67,418,44,615,478,413,0.504,12
송진우,1966-02-16T00:00:00Z,1989,2009,21,672,64,11,210,153,103,17,12708,3003,2718,272,1155,117,2048,1341,1170,0.579,2
윤동배,1966-03-03T00:00:00Z,1989,1996,7,76,3,0,8,9,0,0,912,194.66666666666669,219,11,128,12,75,147,129,0.471,3
이강철,1966-05-24T00:00:00Z,1989,2005,16,602,65,18,152,112,53,33,9136,2204.6666666666665,1771,218,797,189,1749,889,806,0.576,5
정명원,1966-06-14T00:00:00Z,1989,2000,12,395,11,6,75,54,142,0,4441,1093.6666666666667,933,51,330,35,634,390,311,0.581,6
김청수,1966-08-06T00:00:00Z,1989,1994,6,120,22,3,31,38,8,0,2321,566.6666666666663,521,52,139,28,262,259,245,0.449,8
서호진,1966-08-25T00:00:00Z,1989,1993,4,104,1,0,11,18,14,0,1146,272.3333333333333,270,21,96,16,96,134,121,0.379,8
이진,1966-09-15T00:00:00Z,1989,1993,4,82,0,0,10,10,2,0,856,184.33333333333334,168,11,151,12,131,125,106,0.5,9
김동현,1966-10-12T00:00:00Z,1989,1993,5,116,7,2,21,22,9,0,1597,380.3333333333333,355,32,127,23,175,185,168,0.488,10
김락기,1966-10-28T00:00:00Z,1989,1993,5,70,1,0,14,9,3,0,965,225.66666666666666,218,25,99,12,94,114,104,0.609,10
한명수,1966-11-13T00:00:00Z,1989,1990,2,8,0,0,2,0,0,0,92,22.666666666666668,17,0,11,2,1,6,4,1,11
구동우,1966-12-27T00:00:00Z,1989,1994,6,146,10,2,17,30,10,0,1875,439,441,38,160,27,182,218,203,0.362,12
조진구,1969-02-10T00:00:00Z,1989,1989,1,10,0,0,0,1,0,0,74,18.666666666666668,19,2,6,2,6,9,9,0,2
강규성,1969-03-25T00:00:00Z,1989,1994,3,16,0,0,1,3,0,0,256,59.333333333333336,52,4,43,0,25,31,30,0.25,3
김형균,1969-05-14T00:00:00Z,1989,1991,3,27,0,0,2,1,0,0,322,76.66666666666667,72,11,30,2,33,37,37,0.667,5
정종헌,1969-07-12T00:00:00Z,1989,1989,1,1,0,0,0,0,0,0,11,2,4,2,1,0,0,4,4,0,7
이주헌,1969-11-17T00:00:00Z,1989,1989,1,3,0,0,0,1,0,0,34,6,11,2,4,1,4,10,9,0,11
손창현,1970-01-01T00:00:00Z,1989,1989,1,1,0,0,0,0,0,0,14,2.6666666666666665,5,0,1,0,1,3,2,0,1
이상번,1970-03-05T00:00:00Z,1989,1997,8,135,1,0,9,13,1,0,1417,327.6666666666667,296,34,174,16,150,176,164,0.409,3
박정은,1970-04-15T00:00:00Z,1989,1989,1,2,0,0,0,0,0,0,8,2,2,0,0,0,1,1,0,0,4
박용준,1970-06-17T00:00:00Z,1989,1994,6,102,3,0,7,16,4,0,1187,263,294,23,137,7,101,153,130,0.304,6
유창균,1970-10-23T00:00:00Z,1989,1989,1,1,0,0,0,0,0,0,12,2,6,1,0,0,1,3,3,0,10
이은승,1971-02-12T00:00:00Z,1989,1997,9,40,0,0,0,2,1,0,348,72.33333333333233,96,8,33,7,50,62,50,0,2
홍길남,1971-02-24T00:00:00Z,1989,1997,8,54,0,0,1,7,1,0,495,107.66666666666666,114,10,66,6,62,81,77,0.125,2
강태원,1971-05-15T00:00:00Z,1989,2001,13,355,3,0,16,24,6,6,2347,547.3333333333334,563,66,181,36,347,303,267,0.4,5
정동해,1971-10-28T00:00:00Z,1989,1989,1,2,0,0,0,1,0,0,4,0,0,0,4,0,0,3,2,0,10
이효봉,1963-01-26T00:00:00Z,1990,1990,1,7,0,0,0,0,0,0,55,10.666666666666666,14,2,9,1,5,10,5,0,1
김보선,1966-03-15T00:00:00Z,1990,1992,3,37,0,0,4,9,2,0,564,122.66666666666667,142,9,75,4,49,82,76,0.308,3
김창기,1966-07-25T00:00:00Z,1990,1990,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7
이태일,1967-04-09T00:00:00Z,1990,1996,6,129,13,6,48,39,4,0,2674,637,622,47,185,35,230,298,270,0.552,4
최현준,1967-05-03T00:00:00Z,1990,1992,3,17,0,0,1,3,0,0,129,30,39,2,4,6,6,21,20,0.25,5
김도형,1967-07-28T00:00:00Z,1990,1991,2,15,0,0,1,2,1,0,150,33,41,5,9,1,14,23,20,0.333,7
박동희,1968-01-04T00:00:00Z,1990,2001,12,251,26,7,59,50,58,0,3768,882.3333333333334,769,55,457,27,665,405,360,0.541,1
김력,1968-02-28T00:00:00Z,1990,1993,3,8,0,0,0,1,0,0,82,18.666666666666334,18,0,7,0,5,6,5,0,2
