name,birth,start_year,end_year,career,games,완투,완봉,승,패,세,홀,타자,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,winning_rate,birth_month
최우석,1968-01-15T00:00:00Z,1991,1991,1,2,0,0,0,0,0,0,15,3,4,0,2,0,1,2,1,0,1
권영일,1968-01-16T00:00:00Z,1991,1992,2,8,0,0,0,3,0,0,109,23.666666666666664,25,0,18,1,8,15,15,0,1
권영진,1968-03-15T00:00:00Z,1991,1996,3,5,0,0,0,0,0,0,28,6,7,0,3,1,3,3,3,0,3
김기덕,1968-06-04T00:00:00Z,1991,2002,12,325,7,2,56,68,23,1,4467,1048,1105,121,268,89,583,537,479,0.452,6
김기덕,1968-07-02T00:00:00Z,1991,1996,4,36,1,0,2,6,0,0,466,99.33333333333334,128,14,46,7,57,80,73,0.25,7
오희주,1968-07-02T00:00:00Z,1991,1995,4,33,1,1,3,4,2,0,425,98,89,8,49,7,64,46,41,0.429,7
전일수,1968-07-02T00:00:00Z,1991,1994,3,37,0,0,3,1,0,0,267,62,60,4,28,4,30,27,22,0.75,7
김익재,1968-07-23T00:00:00Z,1991,1999,9,205,0,0,1,10,5,0,1003,219,231,9,134,20,156,127,112,0.091,7
김동수,1968-08-04T00:00:00Z,1991,1991,1,20,0,0,1,0,0,0,139,31,30,6,20,0,14,21,18,1,8
이승배,1968-08-15T00:00:00Z,1991,1991,1,2,0,0,0,1,0,0,41,9,11,0,3,0,5,4,4,0,8
강길용,1968-10-14T00:00:00Z,1991,1999,9,237,10,1,26,52,15,0,3167,720.3333333333334,696,72,352,52,382,430,380,0.333,10
이석구,1968-11-20T00:00:00Z,1991,1991,1,3,0,0,0,0,0,0,12,2,5,1,2,0,0,4,4,0,11
김기열,1968-11-23T00:00:00Z,1991,1991,1,7,0,0,0,2,0,0,33,5.333333333333333,16,1,2,0,1,12,12,0,11
김인권,1968-12-28T00:00:00Z,1991,1993,3,67,3,0,13,3,4,0,1064,239,255,22,103,26,69,126,108,0.812,12
박성기,1969-01-20T00:00:00Z,1991,1999,9,220,16,4,51,59,2,0,3924,892.6666666666666,846,96,456,45,564,489,438,0.464,1
오종우,1969-02-07T00:00:00Z,1991,1992,2,6,0,0,0,0,0,0,76,5.666666666666,14,1,15,1,2,13,10,0,2
김상진,1970-03-15T00:00:00Z,1991,2003,13,359,50,17,122,100,14,5,7497,1787.6666666666667,1656,127,596,83,1237,814,704,0.55,3
김민태,1970-03-23T00:00:00Z,1991,1998,8,139,0,0,1,11,0,0,1358,301,333,37,134,20,193,199,181,0.083,3
배현우,1970-11-02T00:00:00Z,1991,1991,1,3,0,0,1,1,0,0,36,7.666666666666667,7,0,5,2,7,2,2,0.5,11
전태건,1971-02-06T00:00:00Z,1991,1991,1,3,0,0,0,0,1,0,52,13,10,2,3,1,5,5,4,0,2
가내영,1971-03-29T00:00:00Z,1991,2003,13,291,9,1,34,43,15,1,3530,818,869,95,251,47,471,469,428,0.442,3
이병석,1971-05-17T00:00:00Z,1991,2003,10,235,0,0,18,21,12,3,1937,446.66666666666663,459,58,157,32,302,240,217,0.462,5
박종철,1971-10-12T00:00:00Z,1991,1995,4,27,0,0,0,0,0,0,191,44.66666666666667,47,7,15,5,13,28,25,0,10
최한림,1971-11-15T00:00:00Z,1991,1997,7,163,4,2,13,33,2,0,1993,454.3333333333333,461,47,214,35,234,268,241,0.283,11
이상범,1972-02-03T00:00:00Z,1991,1992,2,5,0,0,0,0,0,0,29,5.333333333333334,4,0,5,4,1,5,5,0,2
신상윤,1972-03-22T00:00:00Z,1991,1997,7,33,0,0,0,2,1,0,239,50.33333333333333,60,3,31,0,24,39,32,0,3
김태형,1972-04-25T00:00:00Z,1991,1996,6,161,7,0,21,22,5,0,1639,379,394,31,144,17,199,200,189,0.488,4
강병규,1972-05-20T00:00:00Z,1991,2000,10,247,15,1,56,63,4,0,4236,978.3333333333334,1036,81,334,66,499,502,451,0.471,5
김승남,1972-06-28T00:00:00Z,1991,1997,5,84,0,0,1,4,3,0,805,177,203,20,91,14,94,114,102,0.2,6
김원형,1972-07-05T00:00:00Z,1991,2010,20,545,29,7,134,144,26,12,9303,2171,2179,225,745,136,1246,1096,946,0.482,7
손영철,1972-12-27T00:00:00Z,1991,1996,5,45,0,0,2,5,0,0,511,110,114,8,74,8,67,80,73,0.286,12
김성식,1975-05-23T00:00:00Z,1991,1993,3,34,0,0,0,1,2,0,328,68.66666666666667,93,5,38,4,25,56,51,0,5
김만조,1966-10-12T00:00:00Z,1992,1993,2,2,0,0,0,0,0,0,16,3.3333333333333335,3,1,3,0,0,2,2,0,10
황태호,1967-04-11T00:00:00Z,1992,1992,1,1,0,0,0,0,0,0,4,0.333333333333,3,0,0,0,0,3,3,0,4
김석기,1967-10-07T00:00:00Z,1992,1997,6,128,4,1,15,36,4,0,1989,449.3333333333333,470,42,214,22,200,260,230,0.294,10
김상현,1968-04-28T00:00:00Z,1992,1997,6,165,12,2,29,31,19,0,2038,478.6666666666667,486,42,171,13,245,211,193,0.483,4
오봉옥,1968-07-08T00:00:00Z,1992,2006,15,488,9,4,63,68,56,15,5013,1146.6666666666667,1158,100,511,53,754,574,508,0.481,7
신현대,1969-01-29T00:00:00Z,1992,1992,1,5,0,0,0,0,0,0,60,11,18,4,8,1,5,12,11,0,1
임창식,1969-03-07T00:00:00Z,1992,1999,6,118,0,0,8,13,2,0,1094,252.33333333333334,234,24,124,28,104,141,123,0.381,3
배숙현,1969-03-30T00:00:00Z,1992,1992,1,2,0,0,0,0,0,0,19,3,7,2,3,0,0,7,7,0,3
윤형배,1969-04-20T00:00:00Z,1992,1999,8,163,13,4,29,27,7,0,2194,510,544,31,177,18,169,254,231,0.518,4
차명석,1969-04-20T00:00:00Z,1992,2001,10,365,3,0,38,37,19,11,3027,710.3333333333334,743,61,208,41,387,342,317,0.507,4
이요섭,1969-05-02T00:00:00Z,1992,1992,1,2,0,0,0,0,0,0,21,4,6,0,4,0,0,3,3,0,5
김유진,1969-06-25T00:00:00Z,1992,1999,4,38,0,0,0,3,0,0,296,69.66666666666667,76,5,18,3,37,36,30,0,6
민원기,1969-07-05T00:00:00Z,1992,1998,7,166,0,0,3,4,3,0,847,193.66666666666666,197,19,89,10,93,101,89,0.429,7
이상현,1969-07-15T00:00:00Z,1992,1993,2,8,0,0,0,1,0,0,73,14,18,2,15,2,5,12,10,0,7
지연규,1969-08-15T00:00:00Z,1992,2006,11,132,0,0,10,22,23,4,1325,299,331,27,126,21,144,182,162,0.312,8
가득염,1969-10-01T00:00:00Z,1992,2010,19,800,2,0,36,49,11,78,3799,882,864,79,355,51,574,494,448,0.424,10
김태한,1969-10-22T00:00:00Z,1992,2003,10,318,14,4,44,46,55,10,3247,765,667,54,375,29,538,349,299,0.489,10
권명철,1969-10-28T00:00:00Z,1992,2004,11,247,14,5,45,45,1,4,3323,780,736,63,293,46,482,386,341,0.5,10
박철수,1969-11-16T00:00:00Z,1992,1992,1,7,0,0,0,1,0,0,46,10,7,0,10,1,8,5,5,0,11
정민태,1970-03-01T00:00:00Z,1992,2008,15,290,42,9,124,96,3,0,7606,1831,1779,158,491,39,1278,813,707,0.564,3
김성준,1971-06-21T00:00:00Z,1992,1992,1,1,0,0,0,0,0,0,6,1,1,0,1,0,0,1,0,0,6
노석기,1971-08-04T00:00:00Z,1992,1992,1,3,0,0,0,0,0,0,29,5.666666666666667,5,0,8,0,2,5,5,0,8
문귀석,1971-09-14T00:00:00Z,1992,1992,1,8,0,0,0,1,0,0,63,13.666666666666666,18,3,7,0,7,8,7,0,9
김형택,1971-10-11T00:00:00Z,1992,1992,1,8,0,0,0,0,1,0,58,14,16,3,1,0,2,7,7,0,10
조중석,1972-03-02T00:00:00Z,1992,1992,1,3,0,0,0,0,0,0,33,7.666666666666667,4,1,7,0,2,4,3,0,3
정민철,1972-03-28T00:00:00Z,1992,2009,16,393,60,20,161,128,10,0,9932,2394.6666666666665,2194,215,655,93,1661,1030,935,0.557,3
김흥만,1972-06-10T00:00:00Z,1992,1992,1,3,0,0,0,1,0,0,47,9.333333333333334,15,4,5,0,6,13,11,0,6
나성열,1972-09-09T00:00:00Z,1992,1998,7,48,3,0,2,4,0,0,394,90.99999999999933,93,4,37,3,40,37,29,0.333,9
임규대,1972-11-02T00:00:00Z,1992,1994,2,9,0,0,0,1,0,0,80,14,25,2,13,0,5,15,12,0,11
김봉영,1973-02-25T00:00:00Z,1992,1997,5,45,0,0,3,1,0,0,403,86.33333333333334,124,13,29,7,38,75,69,0.75,2
염종석,1973-03-20T00:00:00Z,1992,2008,16,356,31,6,93,133,14,3,7547,1791.3333333333333,1819,125,476,100,1016,846,748,0.412,3
양승철,1973-04-04T00:00:00Z,1992,1994,3,50,0,0,4,2,2,0,505,114.33333333333333,143,17,28,7,47,76,67,0.667,4
안병원,1973-10-03T00:00:00Z,1992,2003,12,224,20,3,46,67,4,0,4262,973.666666666666,1023,95,377,54,592,557,496,0.407,10
노춘섭,1968-08-05T00:00:00Z,1993,1995,3,18,0,0,0,0,0,0,155,35.666666666666664,37,7,17,1,10,27,27,0,8
구대성,1969-08-02T00:00:00Z,1993,2010,13,569,9,0,67,71,214,18,4601,1128.6666666666667,855,87,415,57,1221,412,357,0.486,8
김정훈,1970-04-06T00:00:00Z,1993,1994,2,15,0,0,1,1,0,0,183,38,51,6,25,1,13,32,27,0.5,4
이용호,1970-05-06T00:00:00Z,1993,2002,7,95,0,0,8,8,11,1,835,197.66666666666669,161,17,104,4,121,84,73,0.5,5
박상근,1970-07-05T00:00:00Z,1993,2001,7,119,0,0,2,9,1,0,1104,243,235,24,166,13,158,159,142,0.182,7
김현욱,1970-07-06T00:00:00Z,1993,2004,10,519,0,0,71,31,22,54,3594,883.3333333333334,769,62,234,59,736,325,293,0.696,7
이재만,1970-07-14T00:00:00Z,1993,1999,6,89,0,0,1,5,3,0,620,146.333333333333,144,22,49,7,69,81,77,0.167,7
박충식,1970-09-03T00:00:00Z,1993,2002,9,241,33,7,77,44,30,13,3984,989.3333333333334,877,82,166,77,601,384,337,0.636,9
김홍집,1971-01-30T00:00:00Z,1993,2003,11,255,10,0,29,25,7,11,2191,505,486,37,224,23,383,254,229,0.537,1
성영재,1971-03-09T00:00:00Z,1993,2004,12,304,24,8,58,85,8,14,5064,1165.3333333333333,1203,129,430,102,707,597,549,0.406,3
이상훈,1971-03-11T00:00:00Z,1993,2004,8,308,25,8,71,40,98,1,3630,909.6666666666666,651,59,302,23,781,287,259,0.64,3
김경원,1971-08-18T00:00:00Z,1993,2001,9,303,0,0,36,36,80,6,2506,600,496,51,252,36,458,262,237,0.5,8
강봉수,1971-12-09T00:00:00Z,1993,1996,4,131,0,0,7,6,9,0,671,155.66666666666666,154,7,66,6,81,64,53,0.538,12
허삼영,1972-06-08T00:00:00Z,1993,1995,2,4,0,0,0,0,0,0,13,2.333333333333333,5,1,2,0,0,4,4,0,6
조용수,1973-06-25T00:00:00Z,1993,1993,1,2,0,0,0,0,0,0,21,5,6,1,1,1,1,4,4,0,6
곽재성,1973-07-24T00:00:00Z,1993,1993,1,2,0,0,0,0,0,0,3,0.333333333333,0,0,1,1,0,0,0,0,7
노승욱,1974-03-10T00:00:00Z,1993,2006,10,243,4,0,10,19,1,17,1925,441,504,44,109,57,238,230,213,0.345,3
양윤기,1974-05-22T00:00:00Z,1993,1996,2,3,0,0,0,0,0,0,22,4.666666666666666,2,0,3,0,8,3,0,0,5
노장진,1974-08-10T00:00:00Z,1993,2006,11,406,5,1,74,70,89,9,5006,1132.6666666666667,1057,125,651,43,983,585,547,0.514,8
고성범,1974-09-13T00:00:00Z,1993,1995,3,11,0,0,0,0,0,0,59,14.999999999999334,13,3,6,0,9,9,9,0,9
최한경,1974-11-20T00:00:00Z,1993,1996,4,88,0,0,14,13,9,0,1069,243.66666666666669,210,17,127,18,193,132,111,0.519,11
박진철,1975-02-28T00:00:00Z,1993,2002,8,135,0,0,12,23,1,1,1644,364.6666666666667,422,41,129,51,183,241,217,0.343,2
이우혁,1975-06-17T00:00:00Z,1993,1999,4,41,0,0,0,2,2,0,383,85.333333333333,97,12,29,12,48,59,55,0,6
방극천,1969-03-19T00:00:00Z,1994,1995,2,2,0,0,0,0,0,0,14,3.666666666666,0,0,3,0,1,1,1,0,3
박철홍,1970-03-16T00:00:00Z,1994,2001,6,108,4,1,16,16,5,0,1338,316.6666666666667,302,21,86,32,139,159,137,0.5,3
이승환,1971-03-20T00:00:00Z,1994,1994,1,6,0,0,0,0,0,0,56,12.666666666666666,19,0,4,0,5,8,7,0,3
한태균,1971-03-22T00:00:00Z,1994,2003,9,191,0,0,15,12,1,6,1625,366.3333333333333,414,24,128,32,189,198,177,0.556,3
최상덕,1971-03-31T00:00:00Z,1994,2009,15,278,21,7,75,65,5,4,5185,1200.3333333333333,1260,167,397,59,727,664,607,0.536,3
고형욱,1971-04-17T00:00:00Z,1994,1999,5,98,1,0,3,2,1,0,450,104.66666666666667,96,18,47,7,48,52,50,0.6,4
김성한,1971-04-17T00:00:00Z,1994,1997,4,48,0,0,3,3,1,0,391,87,97,12,40,3,47,58,52,0.5,4
감병훈,1971-05-25T00:00:00Z,1994,1999,6,30,0,0,0,2,1,0,135,24,34,6,29,2,14,39,38,0,5
최호원,1971-06-14T00:00:00Z,1994,1999,4,28,0,0,0,1,0,0,237,52.333333333333336,56,7,25,4,23,32,28,0,6
강상수,1971-06-22T00:00:00Z,1994,2006,13,450,11,4,52,73,75,12,4361,1010.6666666666666,1010,106,404,60,705,519,468,0.416,6
곽병찬,1971-07-15T00:00:00Z,1994,1996,3,11,0,0,0,0,0,0,97,18.666666666666,27,4,11,3,8,17,17,0,7
최재영,1971-08-05T00:00:00Z,1994,1994,1,6,0,0,0,0,0,0,31,8.333333333333334,6,0,1,0,1,2,2,0,8
인현배,1971-10-04T00:00:00Z,1994,2000,5,45,3,2,10,6,0,0,671,157,162,15,52,14,64,84,77,0.625,10
길배진,1971-10-19T00:00:00Z,1994,1994,1,8,0,0,0,0,0,0,81,15,28,4,6,3,1,25,19,0,10
나영철,1971-10-30T00:00:00Z,1994,1995,2,5,0,0,0,0,0,0,63,14,13,0,5,4,7,6,3,0,10
홍우태,1971-11-19T00:00:00Z,1994,2001,8,153,5,1,9,22,2,3,1537,345,385,35,149,16,217,220,194,0.29,11
박창현,1972-02-12T00:00:00Z,1994,1999,4,37,0,0,1,2,0,0,122,25.666666666666668,31,2,12,5,12,18,17,0.333,2
김민국,1972-05-27T00:00:00Z,1994,1997,4,66,0,0,3,3,1,0,603,125.33333333333333,163,11,59,24,73,97,90,0.5,5
김종국,1972-09-25T00:00:00Z,1994,1994,1,1,0,0,0,0,0,0,9,1.6666666666666665,3,1,1,0,1,3,3,0,9
곽채진,1973-03-01T00:00:00Z,1994,2003,10,218,0,0,23,25,15,1,2196,505.6666666666667,480,61,201,44,377,288,254,0.479,3
김민범,1973-06-07T00:00:00Z,1994,2007,10,234,0,0,1,2,1,7,542,120.66666666666667,128,7,48,8,96,74,64,0.333,6
박태웅,1974-01-16T00:00:00Z,1994,1994,1,5,0,0,0,0,0,0,39,9,11,0,2,0,0,6,3,0,1
강희석,1974-02-07T00:00:00Z,1994,2001,5,75,0,0,3,12,1,0,885,193.33333333333334,219,32,81,12,108,152,135,0.2,2
최승민,1974-03-21T00:00:00Z,1994,1999,5,53,0,0,1,3,1,0,431,98.33333333333333,105,9,33,9,44,58,51,0.25,3
마원성,1974-04-16T00:00:00Z,1994,1996,2,14,0,0,0,1,0,0,126,28,36,2,8,2,14,16,14,0,4
서정민,1974-06-08T00:00:00Z,1994,1994,1,10,0,0,0,1,0,0,97,17.666666666666668,22,1,23,0,14,25,24,0,6
박지철,1975-04-13T00:00:00Z,1994,2009,14,307,5,1,61,72,13,3,4870,1117.6666666666667,1098,100,513,60,719,583,524,0.459,4
문창환,1975-07-09T00:00:00Z,1994,2001,3,37,0,0,0,0,0,0,287,68,66,2,29,0,32,31,28,0,7
윤민철,1975-07-25T00:00:00Z,1994,1994,1,4,0,0,1,0,0,0,27,5.666666666666667,7,0,5,0,2,2,2,1,7
조문식,1975-09-29T00:00:00Z,1994,2000,3,6,0,0,0,0,0,0,33,6.333333333333,11,3,3,0,3,8,8,0,9
주형광,1976-03-01T00:00:00Z,1994,2007,14,386,33,3,87,82,9,22,6332,1524.3333333333333,1448,178,426,50,1209,712,648,0.515,3
김경환,1970-07-11T00:00:00Z,1995,1995,1,9,0,0,1,1,0,0,77,18.333333333333332,19,2,6,0,16,12,12,0.5,7
조한철,1970-08-17T00:00:00Z,1995,1995,1,17,0,0,0,0,0,0,137,31.666666666666668,39,3,7,2,10,18,17,0,8
송재용,1972-03-14T00:00:00Z,1995,1995,1,17,0,0,3,3,1,0,266,61,59,1,33,0,40,40,33,0.5,3
안윤호,1972-03-23T00:00:00Z,1995,1995,1,1,0,0,0,0,0,0,3,0.666666666666,1,0,0,0,0,0,0,0,3
위재영,1972-05-21T00:00:00Z,1995,2006,12,350,5,1,68,64,71,15,4731,1122.6666666666667,1035,100,435,27,856,464,408,0.515,5
이원식,1972-06-15T00:00:00Z,1995,2005,9,149,1,1,23,23,2,1,2007,456.3333333333333,479,65,163,26,254,270,244,0.5,6
박성진,1972-07-09T00:00:00Z,1995,1997,3,16,0,0,0,0,0,0,86,20,22,3,2,3,13,8,7,0,7
박보현,1972-07-19T00:00:00Z,1995,2002,7,136,1,0,11,20,2,0,1401,321.6666666666667,335,40,126,8,150,200,181,0.355,7
박석진,1972-07-19T00:00:00Z,1995,2008,13,381,2,1,45,38,28,30,3251,761,780,56,182,95,422,373,324,0.542,7
공용우,1972-08-12T00:00:00Z,1995,1998,3,15,0,0,0,0,0,0,85,20.333333333333332,19,3,7,1,12,10,9,0,8
정의성,1972-08-30T00:00:00Z,1995,1995,1,21,0,0,0,1,0,0,140,31.333333333333332,40,4,9,0,13,27,24,0,8
신재웅,1972-10-10T00:00:00Z,1995,2002,8,133,3,3,24,37,2,0,2099,474.66666666666634,480,72,235,10,358,308,287,0.393,10
진필중,1972-10-13T00:00:00Z,1995,2006,12,510,9,4,75,70,191,2,4705,1119.3333333333333,1105,73,341,42,751,459,398,0.517,10
김진철,1972-12-15T00:00:00Z,1995,1997,3,37,1,0,1,1,0,0,388,88.66666666666667,85,12,37,12,56,41,39,0.5,12
전준호,1975-04-10T00:00:00Z,1995,2011,14,339,2,0,55,47,7,9,4643,1056.3333333333333,1094,111,425,63,633,564,528,0.539,4
김억만,1976-03-10T00:00:00Z,1995,1996,2,19,0,0,0,1,0,0,160,34,43,1,20,1,23,17,16,0,3
박부성,1976-05-10T00:00:00Z,1995,1997,3,60,0,0,8,8,3,0,626,146.33333333333334,152,13,52,6,67,75,69,0.5,5
장승익,1976-06-11T00:00:00Z,1995,1997,3,14,0,0,1,1,0,0,114,29,21,2,8,1,12,8,8,0.5,6
김유봉,1976-06-29T00:00:00Z,1995,2003,6,99,0,0,9,5,2,6,734,162,177,20,81,14,102,109,101,0.643,6
신성필,1976-08-17T00:00:00Z,1995,1996,2,41,0,0,1,6,2,0,457,100.66666666666667,99,9,55,7,58,68,62,0.143,8
장용,1977-02-25T00:00:00Z,1995,1995,1,1,0,0,0,0,0,0,5,1,2,1,1,0,1,2,2,0,2
노종우,1969-08-29T00:00:00Z,1996,1997,2,3,0,0,0,0,0,0,33,8,6,1,3,0,3,3,3,0,8
박철웅,1970-04-15T00:00:00Z,1996,1997,2,12,0,0,0,2,0,0,86,18,24,4,6,1,11,16,16,0,4
김도완,1971-10-27T00:00:00Z,1996,1996,1,10,0,0,1,4,0,0,196,41,43,3,29,5,24,33,21,0.2,10
최원호,1973-03-13T00:00:00Z,1996,2009,14,309,1,1,67,73,3,3,5303,1201.3333333333333,1243,131,550,90,694,666,619,0.479,3
김영복,1973-03-15T00:00:00Z,1996,1996,1,4,0,0,0,0,0,0,25,5,10,1,1,0,0,4,4,0,3
전병호,1973-03-23T00:00:00Z,1996,2008,12,431,3,1,72,55,5,17,4908,1122.6666666666667,1198,127,442,46,579,615,552,0.567,3
최재호,1973-03-27T00:00:00Z,1996,2000,4,123,1,1,13,12,9,0,1342,304,317,29,144,20,173,162,150,0.52,3
정영환,1973-04-10T00:00:00Z,1996,1998,3,9,0,0,0,0,0,0,44,10,12,1,5,0,3,6,6,0,4
최창양,1973-06-03T00:00:00Z,1996,2000,5,75,7,1,17,15,0,0,1422,315,315,17,182,15,200,181,161,0.531,6
박주언,1973-07-13T00:00:00Z,1996,2002,6,79,0,0,4,3,1,0,442,99.333333333333,99,6,58,7,56,62,57,0.571,7
손혁,1973-08-01T00:00:00Z,1996,2004,8,107,1,0,36,31,0,0,2152,508,505,61,171,32,276,253,230,0.537,8
차명주,1973-09-22T00:00:00Z,1996,2006,11,613,2,0,26,31,12,80,2730,612,644,48,291,23,390,359,307,0.456,9
최정환,1973-09-26T00:00:00Z,1996,1999,4,94,0,0,13,10,2,0,790,188.33333333333334,184,15,60,7,105,94,87,0.565,9
박태순,1974-02-08T00:00:00Z,1996,1999,4,17,0,0,1,3,0,0,215,42.666666666666664,66,10,24,3,35,46,43,0.25,2
신영균,1974-02-16T00:00:00Z,1996,2000,5,41,0,0,3,4,1,0,352,73,92,6,44,8,39,59,51,0.429,2
이용훈,1975-12-14T00:00:00Z,1996,1996,1,11,0,0,0,0,0,0,72,19,11,1,10,0,10,3,3,0,12
여준홍,1976-04-05T00:00:00Z,1996,1996,1,7,0,0,0,0,0,0,22,3.3333333333333335,5,2,8,0,2,7,7,0,4
김정훈,1976-05-05T00:00:00Z,1996,1996,1,5,0,0,0,0,0,0,53,10,16,0,8,1,4,11,11,0,5
장형석,1976-06-06T00:00:00Z,1996,1997,2,5,0,0,0,3,0,0,76,17.999999999999332,17,0,12,1,8,14,13,0,6
이재섭,1976-12-23T00:00:00Z,1996,1996,1,2,0,0,0,0,0,0,6,2,1,0,0,0,2,0,0,0,12
김상진,1977-03-09T00:00:00Z,1996,1998,3,84,3,0,24,26,2,0,1647,392.3333333333333,370,36,148,28,224,185,170,0.48,3
김기진,1977-07-04T00:00:00Z,1996,1996,1,4,0,0,0,0,0,0,35,7,8,0,5,2,2,6,6,0,7
한명윤,1977-09-06T00:00:00Z,1996,1998,3,50,0,0,1,0,0,0,118,27.333333333333332,25,0,18,2,14,14,13,1,9
문동환,1972-05-08T00:00:00Z,1997,2007,10,228,19,6,77,64,17,1,4743,1108.3333333333333,1124,89,395,37,659,526,466,0.546,5
김동호,1973-05-24T00:00:00Z,1997,2002,4,65,0,0,2,1,1,0,569,118.99999999999933,146,17,56,21,66,97,91,0.667,5
오철민,1973-05-28T00:00:00Z,1997,2005,9,241,0,0,16,31,2,9,2114,471,537,74,209,26,301,316,287,0.34,5
설종진,1973-06-16T00:00:00Z,1997,2000,3,5,0,0,0,0,0,0,16,3.333333333332,3,0,2,1,1,3,3,0,6
임선동,1973-08-04T00:00:00Z,1997,2006,10,130,6,2,52,36,1,0,2976,696.6666666666666,771,61,196,43,436,372,348,0.591,8
정수찬,1973-12-01T00:00:00Z,1997,2001,4,36,1,0,4,3,2,1,367,82.33333333333333,104,7,25,5,36,60,52,0.571,12
김환조,1974-02-10T00:00:00Z,1997,1997,1,12,0,0,0,1,0,0,98,21,31,1,2,5,12,12,9,0,2
임봉춘,1974-02-10T00:00:00Z,1997,2002,6,37,0,0,1,2,0,0,333,71.66666666666666,78,10,48,3,51,53,49,0.333,2
김상현,1974-04-08T00:00:00Z,1997,1998,2,21,0,0,0,2,0,0,229,50.33333333333333,69,9,13,2,26,38,35,0,4
신창수,1974-04-25T00:00:00Z,1997,1997,1,1,0,0,0,0,0,0,1,0.333333333333,0,0,0,0,0,0,0,0,4
이경필,1974-05-21T00:00:00Z,1997,2007,8,161,5,2,45,54,4,2,3095,714.6666666666666,725,39,279,56,389,355,303,0.455,5
오상민,1974-10-20T00:00:00Z,1997,2011,15,736,1,0,35,33,24,81,3385,783.6666666666666,802,117,257,43,563,410,381,0.515,10
전승남,1974-11-26T00:00:00Z,1997,2004,8,221,1,0,23,19,7,23,1924,452.33333333333337,469,43,113,28,276,204,188,0.548,11
장문석,1974-12-15T00:00:00Z,1997,2008,10,287,2,1,49,41,42,17,3344,766,767,60,331,47,537,365,345,0.544,12
김영수,1975-01-15T00:00:00Z,1997,2009,11,270,2,1,15,37,4,15,2295,496,513,62,313,21,361,329,291,0.288,1
변대수,1975-01-18T00:00:00Z,1997,1997,1,24,0,0,2,1,2,0,194,42.666666666666664,38,2,35,1,28,26,24,0.667,1
김해님,1975-02-07T00:00:00Z,1997,2007,8,247,0,0,21,23,5,10,2350,537.3333333333334,589,65,191,44,299,313,289,0.477,2
최용호,1976-04-30T00:00:00Z,1997,2004,8,154,1,0,27,21,3,0,2142,483,453,49,275,31,354,273,256,0.562,4
김민기,1977-05-19T00:00:00Z,1997,2009,11,307,0,0,33,39,14,32,2754,621.6666666666666,710,68,240,26,416,372,348,0.458,5
김형주,1977-08-11T00:00:00Z,1997,1997,1,1,0,0,0,0,0,0,6,1,2,0,2,0,0,1,1,0,8
정성훈,1977-12-09T00:00:00Z,1997,2007,8,213,1,1,9,15,7,22,1427,329.6666666666667,327,23,115,55,166,166,154,0.375,12
정인석,1978-10-05T00:00:00Z,1997,1999,3,6,0,0,0,0,0,0,29,5.333333333333333,8,0,4,2,3,4,4,0,10
곽현희,1973-08-06T00:00:00Z,1998,2004,7,117,2,0,22,19,5,2,1570,353.99999999999966,382,66,132,35,265,234,219,0.537,8
홍민구,1975-04-12T00:00:00Z,1998,2001,4,21,0,0,2,1,0,0,137,31,33,2,11,2,17,14,14,0.667,4
고호봉,1975-06-04T00:00:00Z,1998,1998,1,1,0,0,0,1,0,0,11,2,3,0,1,1,1,2,2,0,6
고승환,1975-06-07T00:00:00Z,1998,1998,1,1,0,0,0,0,0,0,10,1.3333333333333333,4,0,2,0,0,3,2,0,6
김경태,1975-11-06T00:00:00Z,1998,2009,10,206,0,0,7,7,2,17,866,187.33333333333266,218,26,87,19,101,126,109,0.5,11
엄병열,1976-01-12T00:00:00Z,1998,2001,4,25,0,0,0,2,0,0,144,31,33,7,18,1,14,26,25,0,1
김경진,1976-03-13T00:00:00Z,1998,1999,2,21,0,0,0,0,0,0,156,35,39,5,10,13,17,24,24,0,3
이경원,1977-06-23T00:00:00Z,1998,2005,4,38,0,0,1,0,0,2,76,12.666666666666334,25,3,13,1,7,15,15,1,6
홍의현,1978-03-12T00:00:00Z,1998,1998,1,12,0,0,0,0,0,0,80,20,15,1,5,7,7,10,8,0,3
류기중,1978-09-19T00:00:00Z,1998,1999,2,10,0,0,0,1,0,0,84,17,21,6,14,1,7,18,17,0,9
소소경,1979-07-19T00:00:00Z,1998,2005,6,58,0,0,5,9,0,1,754,161.66666666666666,176,18,92,14,99,116,108,0.357,7
김수경,1979-08-20T00:00:00Z,1998,2012,15,346,6,2,112,98,3,0,7717,1769.3333333333333,1767,192,768,47,1370,923,844,0.533,8
김재현,1979-09-07T00:00:00Z,1998,2010,7,126,0,0,3,3,0,15,326,67.66666666666667,74,6,46,6,49,45,39,0.5,9
김정열,1979-12-03T00:00:00Z,1998,1999,2,7,0,0,0,0,0,0,41,8.333333333333332,5,0,9,2,6,4,3,0,12
김진웅,1980-02-20T00:00:00Z,1998,2005,8,234,6,3,60,54,18,4,4020,921.3333333333334,900,113,431,32,737,504,470,0.526,2
심재학,1972-10-18T00:00:00Z,1999,1999,1,15,0,0,3,3,0,0,219,48.333333333333336,48,5,34,2,32,37,34,0.5,10
이정길,1973-03-19T00:00:00Z,1999,1999,1,5,0,0,1,1,0,0,53,10.666666666666666,17,1,4,2,2,15,15,0.5,3
