name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
강영수,1973-06-19T00:00:00Z,1996,1996,1,35,72,7,16,5,0,1,3,2,0,2,1,15,2,0,0.222,6
김형남,1973-06-28T00:00:00Z,1996,1997,2,72,103,11,18,3,0,1,11,0,0,3,0,23,0,4,0.175,6
엄종수,1973-07-09T00:00:00Z,1996,1996,1,18,14,0,1,0,0,0,0,0,0,0,1,2,0,0,0.071,7
박경호,1973-07-19T00:00:00Z,1996,1999,4,103,178,18,45,4,0,3,18,18,2,15,3,48,2,10,0.253,7
오중석,1973-08-05T00:00:00Z,1996,1997,2,12,9,2,2,0,0,0,1,1,1,0,0,3,0,0,0.222,8
우승진,1973-08-10T00:00:00Z,1996,1996,1,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
안명성,1973-08-17T00:00:00Z,1996,1997,2,91,86,13,13,0,0,1,1,6,3,6,0,26,4,4,0.151,8
박재홍,1973-09-07T00:00:00Z,1996,2012,17,1797,6097,1012,1732,316,26,300,1081,267,145,875,65,1147,151,40,0.284,9
김종국,1973-09-14T00:00:00Z,1996,2009,14,1359,4391,604,1086,198,19,66,429,254,70,449,46,797,77,112,0.247,9
김현민,1973-09-15T00:00:00Z,1996,2002,6,210,343,35,79,19,1,7,41,3,2,14,5,81,5,3,0.23,9
이영우,1973-11-27T00:00:00Z,1996,2010,13,1312,4346,735,1275,272,33,135,533,112,81,562,44,723,109,19,0.293,11
배정훈,1973-12-20T00:00:00Z,1996,1998,3,93,162,11,34,5,0,2,10,1,1,7,0,38,5,3,0.21,12
조효상,1974-01-26T00:00:00Z,1996,2005,10,198,204,30,41,16,2,1,17,3,2,10,5,74,1,2,0.201,1
홍재호,1974-02-02T00:00:00Z,1996,1996,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
정경배,1974-02-20T00:00:00Z,1996,2009,14,1322,3991,525,1062,203,10,100,522,70,56,314,118,754,82,104,0.266,2
오진희,1974-08-19T00:00:00Z,1996,1996,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
김정한,1976-11-08T00:00:00Z,1996,1996,1,11,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0.2,11
방동민,1977-01-20T00:00:00Z,1996,1996,1,5,8,0,1,0,0,0,1,0,0,0,0,1,0,0,0.125,1
이계성,1977-02-08T00:00:00Z,1996,2005,10,408,808,85,189,44,3,11,88,11,8,79,2,191,10,9,0.234,2
하춘동,1977-04-19T00:00:00Z,1996,2002,4,60,80,15,15,1,1,0,7,0,2,4,4,26,1,1,0.188,4
진정민,1977-05-18T00:00:00Z,1996,1996,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
김수연,1977-05-28T00:00:00Z,1996,2008,10,841,1578,254,393,41,10,2,71,127,51,137,7,289,13,18,0.249,5
황성기,1977-06-09T00:00:00Z,1996,2002,5,69,79,7,16,1,0,2,7,0,0,2,1,21,2,2,0.203,6
이봉우,1977-07-30T00:00:00Z,1996,1998,3,158,140,18,23,5,1,2,8,7,3,3,0,30,3,7,0.164,7
김헌수,1977-09-07T00:00:00Z,1996,1996,1,9,18,2,2,0,0,0,0,2,0,2,0,10,0,0,0.111,9
이호균,1977-09-18T00:00:00Z,1996,1996,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
정학수,1977-12-01T00:00:00Z,1996,1996,1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12
최인선,1971-07-10T00:00:00Z,1997,1997,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
문희성,1973-02-22T00:00:00Z,1997,2006,9,412,908,110,224,36,2,30,144,14,9,72,31,175,25,7,0.247,2
최승우,1973-05-27T00:00:00Z,1997,1998,2,9,6,3,1,1,0,0,1,0,0,0,0,1,0,0,0.167,5
허유신,1973-06-03T00:00:00Z,1997,1998,2,38,59,3,10,2,0,0,6,2,1,3,0,14,2,1,0.169,6
김창희,1973-07-03T00:00:00Z,1997,2009,13,1345,3608,427,926,167,9,68,438,44,34,409,70,657,111,36,0.257,7
박근영,1973-08-02T00:00:00Z,1997,1997,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
임종수,1973-12-02T00:00:00Z,1997,1997,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0.333,12
황성관,1974-01-15T00:00:00Z,1997,2001,4,213,373,57,101,15,2,0,27,18,8,29,9,57,1,3,0.271,1
이경태,1974-02-20T00:00:00Z,1997,1997,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
최만호,1974-03-04T00:00:00Z,1997,2009,12,669,973,140,217,41,6,18,96,30,19,67,32,268,10,9,0.223,3
송재익,1974-03-27T00:00:00Z,1997,2004,7,486,490,77,89,17,4,6,53,26,10,56,16,157,9,28,0.182,3
장성국,1974-03-30T00:00:00Z,1997,2002,4,36,33,2,4,2,0,0,2,0,0,2,0,10,1,1,0.121,3
윤인수,1974-04-12T00:00:00Z,1997,1997,1,10,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,4
김도형,1974-04-24T00:00:00Z,1997,1997,1,11,7,0,2,0,0,0,1,0,0,1,4,0,0,0,0.286,4
노상진,1974-04-26T00:00:00Z,1997,1997,1,2,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0.25,4
강규철,1974-05-05T00:00:00Z,1997,2001,5,51,52,6,9,0,0,1,3,0,1,1,1,8,1,6,0.173,5
장석희,1974-05-08T00:00:00Z,1997,1997,1,19,26,1,3,1,0,0,0,0,0,0,1,9,0,2,0.115,5
조남기,1974-05-17T00:00:00Z,1997,1999,2,25,37,5,10,2,0,0,5,0,0,3,1,6,1,1,0.27,5
이영주,1974-05-25T00:00:00Z,1997,1998,2,21,25,4,5,1,0,1,3,0,0,5,0,5,0,0,0.2,5
장순재,1974-06-27T00:00:00Z,1997,1997,1,5,13,1,4,0,0,1,2,0,0,0,0,4,0,2,0.308,6
백재호,1974-06-30T00:00:00Z,1997,2007,11,1007,2571,278,631,130,6,68,306,19,13,272,36,481,65,84,0.245,6
이동욱,1974-07-17T00:00:00Z,1997,2003,6,143,272,17,60,9,1,5,26,1,3,21,7,52,6,3,0.221,7
한익희,1974-08-09T00:00:00Z,1997,1997,1,1,4,1,4,0,0,0,1,0,1,0,0,0,0,0,1,8
강대호,1974-08-15T00:00:00Z,1997,1998,2,40,60,5,11,1,0,1,7,0,1,7,2,25,1,0,0.183,8
안재만,1974-10-02T00:00:00Z,1997,2008,12,584,1365,174,330,74,3,40,176,53,22,136,21,374,33,62,0.242,10
김도균,1974-10-08T00:00:00Z,1997,1997,1,9,8,0,2,0,0,0,1,0,0,0,0,1,0,0,0.25,10
강신창,1974-11-10T00:00:00Z,1997,1998,2,9,6,1,2,0,0,0,1,0,1,0,0,2,0,0,0.333,11
안세준,1974-12-12T00:00:00Z,1997,1997,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
조유신,1975-02-07T00:00:00Z,1997,2000,3,74,111,13,22,4,1,1,6,1,0,11,0,32,4,10,0.198,2
김형성,1976-02-28T00:00:00Z,1997,1998,2,66,89,5,15,3,0,0,3,0,0,7,1,23,0,8,0.169,2
나광호,1977-01-15T00:00:00Z,1997,1998,2,10,16,1,2,0,0,1,1,0,0,0,0,5,0,1,0.125,1
김동현,1977-04-12T00:00:00Z,1997,1997,1,3,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
심광호,1977-08-01T00:00:00Z,1997,2012,13,512,815,74,176,28,2,27,95,8,3,50,26,237,21,23,0.216,8
이동욱,1977-08-01T00:00:00Z,1997,1997,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8
임노병,1977-08-27T00:00:00Z,1997,2001,2,10,16,1,2,1,0,0,0,0,0,0,0,10,0,0,0.125,8
조승현,1978-04-05T00:00:00Z,1997,2005,5,70,103,7,20,2,0,4,11,1,0,4,3,34,4,1,0.194,4
이득수,1978-04-25T00:00:00Z,1997,1997,1,2,5,0,1,0,0,0,0,0,0,0,0,2,0,1,0.2,4
손지환,1978-11-13T00:00:00Z,1997,2010,14,908,2044,230,493,82,4,47,217,16,19,112,52,246,48,69,0.241,11
조경환,1972-08-27T00:00:00Z,1998,2007,10,897,2622,350,683,141,10,131,444,12,19,274,60,781,46,14,0.26,8
안희봉,1972-10-03T00:00:00Z,1998,2001,4,43,68,4,16,2,0,3,12,0,0,3,2,22,3,1,0.235,10
서한규,1973-03-28T00:00:00Z,1998,2007,10,457,632,93,142,15,6,4,48,21,4,62,9,121,12,35,0.225,3
정원배,1973-08-01T00:00:00Z,1998,2000,3,46,73,7,17,3,0,1,7,1,0,3,0,17,0,2,0.233,8
강동우,1974-04-20T00:00:00Z,1998,2013,15,1427,4613,687,1247,199,32,75,456,133,58,556,23,611,102,16,0.27,4
문재성,1974-07-06T00:00:00Z,1998,1998,1,10,4,1,0,0,0,0,0,0,0,1,0,2,0,0,0,7
이준용,1974-08-02T00:00:00Z,1998,1998,1,25,31,5,7,0,0,0,1,1,0,4,1,8,2,0,0.226,8
방수환,1975-01-17T00:00:00Z,1998,1998,1,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
김상호,1975-03-11T00:00:00Z,1998,2000,3,10,19,1,4,0,0,1,2,0,0,2,0,6,0,2,0.211,3
윤석권,1975-03-21T00:00:00Z,1998,1998,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
손인호,1975-04-03T00:00:00Z,1998,2012,13,908,2257,235,593,122,13,24,242,17,16,226,23,409,28,14,0.263,4
윤재국,1975-05-05T00:00:00Z,1998,2009,10,714,1766,234,453,63,22,19,170,53,29,154,6,350,14,8,0.257,5
엄정대,1975-05-10T00:00:00Z,1998,2003,6,175,153,34,32,3,1,3,19,3,3,9,5,40,5,1,0.209,5
이우석,1975-06-12T00:00:00Z,1998,2000,3,49,84,13,16,2,0,0,2,3,2,8,0,17,1,1,0.19,6
김수관,1975-08-05T00:00:00Z,1998,2002,5,100,131,10,24,4,0,1,12,1,1,8,1,35,4,3,0.183,8
오충원,1975-08-12T00:00:00Z,1998,1999,2,20,21,2,1,0,0,0,1,0,0,4,1,9,0,0,0.048,8
강민규,1975-10-10T00:00:00Z,1998,2001,3,129,185,26,38,5,2,3,22,8,4,12,2,51,0,4,0.205,10
조은진,1975-10-28T00:00:00Z,1998,1998,1,30,10,4,2,0,0,0,1,4,2,1,0,5,0,1,0.2,10
신경현,1975-11-28T00:00:00Z,1998,2012,13,976,2359,236,595,95,6,31,224,29,24,218,15,437,68,42,0.252,11
김기성,1976-02-02T00:00:00Z,1998,1998,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
지승준,1977-06-07T00:00:00Z,1998,1999,2,60,54,8,13,0,0,0,4,1,0,4,0,8,2,1,0.241,6
정수성,1978-03-04T00:00:00Z,1998,2013,14,722,1071,212,258,34,10,7,58,127,40,73,36,237,14,11,0.241,3
이상호,1978-04-24T00:00:00Z,1998,1998,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
김윤일,1978-05-22T00:00:00Z,1998,1999,2,12,17,0,2,1,0,0,2,0,0,1,1,7,0,2,0.118,5
정인호,1978-06-06T00:00:00Z,1998,1998,1,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,6
김진수,1979-04-19T00:00:00Z,1998,2009,6,122,118,9,24,3,1,0,6,2,1,9,0,39,6,3,0.203,4
조웅천,1971-03-17T00:00:00Z,1999,2008,3,7,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
유현승,1971-03-27T00:00:00Z,1999,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
강필선,1972-05-31T00:00:00Z,1999,2001,3,5,12,2,3,1,0,1,1,0,0,0,0,3,0,1,0.25,5
오규택,1973-08-01T00:00:00Z,1999,2000,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8
김지훈,1973-09-02T00:00:00Z,1999,2004,5,216,204,18,44,8,0,7,26,0,0,13,2,63,6,3,0.216,9
박연수,1974-01-14T00:00:00Z,1999,2008,10,488,901,106,232,42,3,31,137,6,8,101,15,283,17,2,0.257,1
정회선,1974-05-26T00:00:00Z,1999,1999,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,5
강혁,1974-08-25T00:00:00Z,1999,2007,7,428,930,99,232,45,0,18,115,2,7,85,5,141,27,10,0.249,8
조현,1974-10-17T00:00:00Z,1999,1999,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
심재윤,1975-08-24T00:00:00Z,1999,2001,3,140,159,28,35,6,1,9,20,2,2,15,4,53,5,1,0.22,8
이병수,1975-09-23T00:00:00Z,1999,1999,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
채종국,1975-10-24T00:00:00Z,1999,2008,9,659,1343,169,318,54,1,22,128,8,16,88,59,213,28,59,0.237,10
이정훈,1975-11-23T00:00:00Z,1999,1999,1,5,9,3,3,1,0,1,3,0,0,3,0,2,0,0,0.333,11
황우구,1976-05-03T00:00:00Z,1999,2004,6,377,726,70,173,38,4,7,74,6,6,75,9,131,19,25,0.238,5
장일현,1976-05-12T00:00:00Z,1999,2005,5,411,854,102,222,37,1,12,90,9,5,69,5,124,21,6,0.26,5
장영균,1976-05-20T00:00:00Z,1999,2003,5,56,44,7,8,4,0,0,3,0,0,5,2,20,1,0,0.182,5
한규식,1976-09-14T00:00:00Z,1999,2007,7,335,562,73,124,17,2,3,39,2,2,51,4,128,11,27,0.221,9
김기환,1976-12-07T00:00:00Z,1999,2000,2,8,20,2,5,0,0,1,4,0,0,0,0,8,0,0,0.25,12
김경진,1976-12-21T00:00:00Z,1999,2007,7,201,279,42,58,10,0,5,25,1,1,19,11,63,9,7,0.208,12
오주상,1977-11-20T00:00:00Z,1999,1999,1,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11
김일경,1978-07-01T00:00:00Z,1999,2012,13,800,1569,220,386,62,5,18,118,90,38,119,25,331,35,46,0.246,7
윤상무,1979-07-20T00:00:00Z,1999,2004,3,11,5,2,0,0,0,0,0,0,0,0,0,3,0,0,0,7
정현택,1980-02-22T00:00:00Z,1999,2001,3,55,86,11,22,1,1,2,8,1,0,8,1,19,3,0,0.256,2
조재영,1980-03-15T00:00:00Z,1999,2001,3,14,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0.25,3
최경환,1972-05-12T00:00:00Z,2000,2009,10,810,2075,266,549,95,12,32,222,59,25,164,20,333,33,14,0.265,5
장재명,1972-05-25T00:00:00Z,2000,2000,1,9,13,1,1,0,0,0,1,0,1,1,0,4,0,0,0.077,5
이대진,1974-06-09T00:00:00Z,2000,2002,2,24,37,2,3,1,1,0,4,0,0,2,0,18,0,1,0.081,6
김필중,1975-05-16T00:00:00Z,2000,2002,2,21,7,1,2,0,0,0,1,0,0,0,0,4,0,0,0.286,5
박경진,1976-03-22T00:00:00Z,2000,2005,6,202,252,23,52,4,2,1,21,1,0,18,7,48,5,6,0.206,3
차정국,1976-08-07T00:00:00Z,2000,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
조상수,1976-08-24T00:00:00Z,2000,2001,2,3,6,0,1,0,0,0,0,0,0,0,0,4,0,0,0.167,8
김무성,1976-11-25T00:00:00Z,2000,2001,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
이상현,1976-12-11T00:00:00Z,2000,2004,2,5,8,0,1,1,0,0,0,0,0,1,0,3,0,0,0.125,12
전근표,1977-03-05T00:00:00Z,2000,2010,10,406,759,99,187,33,1,29,89,1,4,116,6,210,13,11,0.246,3
박창원,1977-03-17T00:00:00Z,2000,2000,1,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
정원석,1977-03-27T00:00:00Z,2000,2012,10,542,971,138,250,36,7,16,104,38,25,95,43,233,25,37,0.257,3
윤현식,1977-04-03T00:00:00Z,2000,2004,5,88,50,9,4,0,0,0,1,0,1,3,0,12,1,1,0.08,4
임학수,1977-04-03T00:00:00Z,2000,2000,1,16,7,1,2,0,0,0,1,0,0,0,0,3,0,1,0.286,4
조홍준,1977-04-27T00:00:00Z,2000,2000,1,27,35,3,4,1,0,1,3,0,0,2,1,18,2,0,0.114,4
남기헌,1977-08-01T00:00:00Z,2000,2001,2,79,114,16,25,6,1,0,10,1,0,11,8,23,2,1,0.219,8
신주일,1977-09-18T00:00:00Z,2000,2004,3,53,69,12,19,1,0,0,7,4,2,6,0,10,1,9,0.275,9
양현석,1977-10-20T00:00:00Z,2000,2007,6,400,795,81,191,34,3,24,114,7,7,72,20,163,19,5,0.24,10
박정환,1977-10-23T00:00:00Z,2000,2011,12,598,1219,168,293,59,6,21,141,9,7,123,12,286,45,29,0.24,10
장교성,1977-10-27T00:00:00Z,2000,2006,4,139,174,16,31,3,3,1,9,2,6,8,2,45,8,11,0.178,10
채종범,1977-12-03T00:00:00Z,2000,2010,8,681,2108,279,553,94,10,50,246,25,33,191,56,305,54,8,0.262,12
홍세완,1978-01-16T00:00:00Z,2000,2010,10,817,2853,366,774,134,4,90,431,41,32,288,37,396,94,74,0.271,1
최길성,1978-02-06T00:00:00Z,2000,2007,6,170,388,33,88,20,2,7,44,5,0,45,3,99,8,8,0.227,2
최승환,1978-02-25T00:00:00Z,2000,2013,11,318,559,52,122,22,0,13,64,1,0,51,6,122,18,10,0.218,2
김성균,1976-01-25T00:00:00Z,2001,2002,2,14,9,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1
조정권,1976-02-25T00:00:00Z,2001,2003,3,127,132,14,26,2,0,1,9,1,0,9,2,23,6,1,0.197,2
구민호,1977-03-11T00:00:00Z,2001,2001,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
조병찬,1977-05-17T00:00:00Z,2001,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
방진호,1977-07-27T00:00:00Z,2001,2002,2,39,37,5,4,0,0,0,0,0,0,2,0,10,1,1,0.108,7
김재학,1978-02-18T00:00:00Z,2001,2004,4,37,35,4,5,0,1,0,1,0,0,2,2,9,3,0,0.143,2
김무성,1978-03-02T00:00:00Z,2001,2003,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
권오현,1978-03-12T00:00:00Z,2001,2003,3,103,144,17,26,10,1,1,3,6,2,6,7,42,3,1,0.181,3
서창호,1978-06-03T00:00:00Z,2001,2002,2,27,15,2,2,0,0,0,1,0,0,5,0,5,1,2,0.133,6
김기동,1978-08-05T00:00:00Z,2001,2001,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
박상민,1978-08-11T00:00:00Z,2001,2002,2,37,39,3,9,1,0,0,2,0,2,5,1,9,1,2,0.231,8
심제훈,1978-10-11T00:00:00Z,2001,2004,3,62,26,11,2,1,0,0,0,3,2,0,0,9,1,3,0.077,10
이송영,1979-01-17T00:00:00Z,2001,2004,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,1
오우진,1979-01-30T00:00:00Z,2001,2003,3,19,24,1,6,0,0,1,4,0,0,0,1,8,2,1,0.25,1
오세학,1979-09-09T00:00:00Z,2001,2001,1,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0.167,9
최동연,1979-09-30T00:00:00Z,2001,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
송원국,1979-10-26T00:00:00Z,2001,2002,2,81,146,19,39,7,0,6,28,4,0,8,0,28,4,7,0.267,10
정정오,1980-02-10T00:00:00Z,2001,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2
김동건,1982-03-07T00:00:00Z,2001,2013,8,76,98,8,16,1,1,2,7,0,0,6,2,31,3,5,0.163,3
김민철,1982-03-14T00:00:00Z,2001,2006,6,333,393,57,87,10,5,0,29,15,10,26,5,82,4,17,0.221,3
이대호,1982-06-21T00:00:00Z,2001,2011,11,1150,4048,611,1250,204,5,225,809,9,9,475,129,627,121,91,0.309,6
김우석,1975-09-02T00:00:00Z,2002,2008,7,161,129,17,23,5,1,1,6,1,1,7,3,36,4,8,0.178,9
정성열,1976-05-16T00:00:00Z,2002,2003,2,17,18,1,1,0,0,0,0,0,0,0,1,6,2,0,0.056,5
김학재,1976-08-11T00:00:00Z,2002,2002,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8
서성민,1976-08-22T00:00:00Z,2002,2002,1,36,46,3,5,0,0,1,1,1,0,2,1,16,1,0,0.109,8
강병식,1977-04-23T00:00:00Z,2002,2012,11,761,1305,147,308,56,5,39,174,11,12,166,32,305,35,18,0.236,4
박봉수,1977-07-16T00:00:00Z,2002,2002,1,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
조윤채,1977-08-10T00:00:00Z,2002,2004,3,94,113,38,28,4,0,1,3,5,4,16,5,30,2,1,0.248,8
윤태수,1978-04-05T00:00:00Z,2002,2003,2,9,9,1,3,1,0,1,1,0,0,0,0,1,0,0,0.333,4
박우호,1978-05-15T00:00:00Z,2002,2002,1,12,10,2,2,0,0,0,0,0,0,0,1,3,0,1,0.2,5
김대원,1978-05-18T00:00:00Z,2002,2002,1,15,2,5,0,0,0,0,0,2,0,0,0,2,0,0,0,5
김재구,1978-05-31T00:00:00Z,2002,2008,4,89,96,7,23,5,0,4,20,1,0,5,1,30,4,0,0.24,5
이준민,1979-01-23T00:00:00Z,2002,2003,2,11,9,0,1,0,0,0,0,0,0,1,0,4,1,0,0.111,1
유재웅,1979-05-20T00:00:00Z,2002,2012,8,392,753,84,185,42,1,21,95,2,6,72,11,194,16,6,0.246,5
송혁,1979-05-21T00:00:00Z,2002,2003,2,14,15,0,1,0,0,0,0,0,0,3,0,5,1,0,0.067,5
김정현,1979-05-27T00:00:00Z,2002,2002,1,24,68,10,17,2,0,1,6,0,3,8,0,20,0,3,0.25,5
조민철,1979-06-08T00:00:00Z,2002,2003,2,17,23,1,4,0,0,0,3,0,0,1,1,7,0,0,0.174,6
조현수,1979-06-27T00:00:00Z,2002,2005,4,222,462,47,116,24,0,6,46,2,3,30,20,104,8,1,0.251,6
강귀태,1979-08-12T00:00:00Z,2002,2012,11,816,1833,176,468,76,4,31,215,9,12,124,15,262,58,32,0.255,8
윤형국,1979-08-20T00:00:00Z,2002,2004,3,25,16,1,1,0,0,0,1,0,0,2,0,5,0,0,0.062,8
김용우,1979-09-12T00:00:00Z,2002,2009,6,135,165,14,39,6,1,2,18,2,1,23,8,36,3,1,0.236,9
허일상,1979-12-21T00:00:00Z,2002,2009,4,129,193,16,43,10,1,2,13,0,1,12,2,31,2,4,0.223,12
조재호,1980-01-10T00:00:00Z,2002,2012,9,382,509,56,111,20,3,5,53,6,8,54,10,104,11,4,0.218,1
이경환,1983-05-21T00:00:00Z,2002,2009,4,29,24,1,4,0,0,0,0,0,0,1,0,5,0,1,0.167,5
이태호,1983-09-24T00:00:00Z,2002,2007,6,81,52,7,7,2,0,0,0,0,1,1,2,20,0,0,0.135,9
이승준,1976-07-03T00:00:00Z,2003,2006,4,131,233,23,53,10,0,11,27,2,0,18,4,89,3,3,0.227,7
오태근,1978-04-05T00:00:00Z,2003,2009,7,214,288,42,54,13,2,1,11,27,17,27,7,69,2,2,0.188,4
김세중,1979-10-20T00:00:00Z,2003,2003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
이민택,1980-02-23T00:00:00Z,2003,2003,1,9,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2
정종수,1980-05-08T00:00:00Z,2003,2008,2,18,21,1,1,0,0,0,1,0,0,2,1,8,1,3,0.048,5
백승훈,1980-05-16T00:00:00Z,2003,2004,2,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
김형철,1980-05-26T00:00:00Z,2003,2010,8,167,154,18,24,3,0,0,8,4,2,7,0,39,2,6,0.156,5
송수근,1980-06-26T00:00:00Z,2003,2004,2,30,14,3,2,0,0,0,0,0,0,0,1,2,0,0,0.143,6
정보명,1980-08-23T00:00:00Z,2003,2013,9,439,1189,112,322,66,6,9,137,11,14,94,20,236,36,36,0.271,8
이인구,1980-11-07T00:00:00Z,2003,2013,9,347,840,114,206,33,7,10,74,27,12,79,23,169,14,7,0.245,11
백대운,1980-11-21T00:00:00Z,2003,2003,1,9,15,2,1,1,0,0,0,0,0,1,0,5,1,0,0.067,11
신민기,1980-12-11T00:00:00Z,2003,2003,1,21,21,2,2,0,0,0,1,0,0,0,0,7,0,0,0.095,12
최동락,1980-12-24T00:00:00Z,2003,2003,1,26,14,1,2,0,0,0,0,1,1,1,0,7,0,1,0.143,12
곽용섭,1983-02-03T00:00:00Z,2003,2009,4,15,22,0,3,1,0,0,0,0,0,1,0,10,0,0,0.136,2
박두일,1983-03-25T00:00:00Z,2003,2003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
김광희,1983-07-23T00:00:00Z,2003,2003,1,6,9,3,4,1,1,0,2,0,0,2,0,2,1,0,0.444,7
김주호,1984-04-01T00:00:00Z,2003,2006,4,76,74,8,15,0,0,2,11,0,1,6,1,20,2,3,0.203,4
이정상,1984-07-11T00:00:00Z,2003,2004,2,14,21,3,6,1,0,0,3,1,0,4,0,4,2,0,0.286,7
맹진국,1984-08-28T00:00:00Z,2003,2004,2,14,14,0,2,0,0,0,1,1,0,1,0,5,0,1,0.143,8
김원,1978-09-23T00:00:00Z,2004,2004,1,5,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0.2,9
조인신,1980-08-14T00:00:00Z,2004,2005,2,49,41,6,6,2,0,0,2,1,0,2,0,9,0,2,0.146,8
박진환,1981-03-10T00:00:00Z,2004,2011,4,66,118,11,21,7,0,1,8,3,2,4,1,37,2,13,0.178,3
이창훈,1981-03-25T00:00:00Z,2004,2004,1,25,35,6,9,2,0,1,4,0,1,5,0,11,0,1,0.257,3
조문기,1981-04-12T00:00:00Z,2004,2004,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
홍마태,1981-05-05T00:00:00Z,2004,2004,1,6,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5
방승재,1981-05-10T00:00:00Z,2004,2005,2,16,9,6,0,0,0,0,0,1,0,1,0,5,0,0,0,5
황이갑,1981-05-22T00:00:00Z,2004,2004,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
권영근,1981-11-16T00:00:00Z,2004,2005,2,12,7,4,3,1,0,0,1,0,0,0,0,2,0,0,0.429,11
서정호,1981-12-24T00:00:00Z,2004,2009,4,24,44,6,8,0,0,2,4,2,0,4,0,15,1,1,0.182,12
허용,1982-02-03T00:00:00Z,2004,2004,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
성민국,1982-02-09T00:00:00Z,2004,2004,1,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
양승학,1984-01-20T00:00:00Z,2004,2009,3,47,93,12,24,5,0,4,12,0,0,7,2,29,2,1,0.258,1
최민준,1984-04-05T00:00:00Z,2004,2005,2,15,10,6,1,0,0,0,0,3,0,0,0,5,0,0,0.1,4
김만윤,1984-07-23T00:00:00Z,2004,2004,1,7,10,1,3,0,0,0,0,0,1,0,1,4,0,0,0.3,7
김영복,1985-02-17T00:00:00Z,2004,2006,3,34,48,5,8,1,0,1,4,0,0,2,0,8,0,0,0.167,2
김종성,1985-10-03T00:00:00Z,2004,2004,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10
허연철,1980-08-07T00:00:00Z,2005,2005,1,10,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8
