name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
김경하,1970-10-10T00:00:00Z,1993,1996,3,157,248,26,53,8,3,3,21,4,1,19,5,43,2,2,0.214,10
최규하,1970-10-10T00:00:00Z,1993,1996,3,38,35,5,5,1,0,0,1,1,1,2,0,11,0,1,0.143,10
한혁수,1970-10-11T00:00:00Z,1993,1995,3,134,209,16,38,7,0,2,7,0,3,18,0,39,6,6,0.182,10
당신상,1970-10-15T00:00:00Z,1993,1994,2,7,7,1,1,0,0,0,1,0,0,0,0,5,0,0,0.143,10
정영규,1970-11-03T00:00:00Z,1993,2001,9,655,1719,214,440,84,15,45,180,13,28,173,33,362,26,15,0.256,11
계기범,1970-12-29T00:00:00Z,1993,1997,4,76,159,19,37,4,1,2,16,4,3,6,0,40,4,2,0.233,12
박기복,1971-01-16T00:00:00Z,1993,1995,2,10,7,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1
이지환,1971-03-09T00:00:00Z,1993,1998,6,126,248,19,48,8,0,5,21,0,2,9,5,59,7,0,0.194,3
권재광,1971-04-27T00:00:00Z,1993,1996,4,64,100,8,14,2,0,1,8,1,0,6,1,26,1,1,0.14,4
신경호,1972-03-07T00:00:00Z,1993,1993,1,3,7,0,2,0,0,0,0,0,1,1,0,3,0,0,0.286,3
우태원,1972-07-24T00:00:00Z,1993,1994,2,16,6,3,1,0,0,0,0,1,0,0,0,4,0,1,0.167,7
김정수,1972-11-16T00:00:00Z,1993,1996,2,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11
김선우,1973-07-02T00:00:00Z,1993,1993,1,12,28,2,3,1,0,0,2,1,0,0,0,1,0,0,0.107,7
이경호,1973-09-07T00:00:00Z,1993,1993,1,13,33,2,6,0,0,0,2,1,0,2,0,10,2,1,0.182,9
소상영,1973-10-29T00:00:00Z,1993,1997,5,91,176,14,30,7,1,2,12,1,0,18,3,40,3,10,0.17,10
강효섭,1973-11-16T00:00:00Z,1993,1996,4,41,40,2,8,0,0,0,1,3,0,2,0,7,0,3,0.2,11
